order_id,customer_id,product_id,order_date,quantity,payment_method,order_status,sales_amount,discount_percent,final_amount,profit_amount,customer_name,age,gender,city,membership_type,join_date,product_name,category,brand,price,stock_quantity,feedback_id,raw_sentiment_label,review_text,rating,feedback_date,sentiment
ORD_3000,CUST_4365,PROD_5996,2023-03-07,5,Card,Delivered,16223.6,15.0,13790.06,1923.29,Customer_3365,44.0,Other,Hyderabad,Gold,2023-05-29,Product_3996,Groceries,Branda,3244.72,362,,,No review provided,4.0,,1.0
ORD_3001,CUST_1863,PROD_4436,2023-04-23,2,Upi,Delivered,1654.28,10.0,1488.85,355.36,Customer_863,54.0,Male,Pune,Platinum,2022-07-06,Product_2436,Electronics,Brandd,827.14,107,FDBK_4734,__label__2,Excellent product and very useful,4.0,2024-10-06,1.0
ORD_3001,CUST_1863,PROD_4436,2023-04-23,2,Upi,Delivered,1654.28,10.0,1488.85,355.36,Customer_863,54.0,Male,Pune,Platinum,2022-07-06,Product_2436,Electronics,Brandd,827.14,107,FDBK_8524,__label__2,Loved it and will buy again,4.0,2024-07-27,1.0
ORD_3001,CUST_1863,PROD_4436,2023-04-23,2,Upi,Delivered,1654.28,10.0,1488.85,355.36,Customer_863,54.0,Male,Pune,Platinum,2022-07-06,Product_2436,Electronics,Brandd,827.14,107,FDBK_8868,__label__1,Waste of money and bad product,2.0,2023-06-23,0.0
ORD_3002,CUST_3015,PROD_3944,2023-06-08,3,Cash On Delivery,Delivered,591.51,10.0,532.36,74.82,Customer_2015,23.0,Other,Kolkata,Gold,2022-11-12,Product_1944,Groceries,Branda,197.17,295,FDBK_7429,__label__1,Very poor quality and disappointing,1.0,2023-10-29,0.0
ORD_3003,CUST_2790,PROD_3915,2024-10-19,4,Card,Shipped,6522.44,5.0,6196.32,1199.08,Customer_1790,18.0,Female,Bangalore,Platinum,2022-01-06,Product_1915,Groceries,Brande,1630.61,173,,,No review provided,4.0,,1.0
ORD_3004,CUST_1254,PROD_4508,2023-12-29,1,Card,Delivered,3520.19,10.0,3168.17,883.8,Customer_254,49.0,Other,Bangalore,Silver,2021-01-25,Product_2508,Home,Brande,3520.19,430,FDBK_5543,__label__2,Loved it and will buy again,4.0,2023-09-04,1.0
ORD_3004,CUST_1254,PROD_4508,2023-12-29,1,Card,Delivered,3520.19,10.0,3168.17,883.8,Customer_254,49.0,Other,Bangalore,Silver,2021-01-25,Product_2508,Home,Brande,3520.19,430,FDBK_7442,__label__1,amazing quality and fast delivery,1.0,2023-10-02,0.0
ORD_3005,CUST_1570,PROD_2592,2024-10-18,1,Upi,Delivered,755.87,10.0,680.28,67.62,Customer_570,61.0,Female,Chennai,Gold,2021-12-05,Product_592,Electronics,Brandd,755.87,495,,,No review provided,4.0,,1.0
ORD_3006,CUST_4218,PROD_4205,2024-09-15,4,Net Banking,Returned,16108.76,15.0,13692.45,1987.11,Customer_3218,20.0,Other,Hyderabad,Silver,2021-07-01,Product_2205,Fashion,Brandc,4027.19,58,FDBK_6213,__label__1,Not worth the price,4.0,2024-10-19,0.0
ORD_3006,CUST_4218,PROD_4205,2024-09-15,4,Net Banking,Returned,16108.76,15.0,13692.45,1987.11,Customer_3218,20.0,Other,Hyderabad,Silver,2021-07-01,Product_2205,Fashion,Brandc,4027.19,58,FDBK_7626,__label__2,Loved it and will buy again,5.0,2024-01-28,1.0
ORD_3007,CUST_5360,PROD_4086,2024-11-30,2,Net Banking,Delivered,8940.14,10.0,8046.13,1271.42,Customer_4360,65.0,Male,Hyderabad,Platinum,2021-02-06,Product_2086,Home,Brandb,4470.07,330,FDBK_5167,__label__2,Excellent product and very useful,5.0,2024-05-10,1.0
ORD_3007,CUST_5360,PROD_4086,2024-11-30,2,Net Banking,Delivered,8940.14,10.0,8046.13,1271.42,Customer_4360,65.0,Male,Hyderabad,Platinum,2021-02-06,Product_2086,Home,Brandb,4470.07,330,FDBK_5186,__label__1,Waste of money and bad product,1.0,2023-11-22,0.0
ORD_3007,CUST_5360,PROD_4086,2024-11-30,2,Net Banking,Delivered,8940.14,10.0,8046.13,1271.42,Customer_4360,65.0,Male,Hyderabad,Platinum,2021-02-06,Product_2086,Home,Brandb,4470.07,330,FDBK_6311,__label__1,No review provided,2.0,2024-09-10,0.0
