feedback_id,order_id,raw_sentiment_label,review_text,rating,feedback_date
FDBK_4000,ORD_7826,__label__2,Excellent product and very useful,5.0,2024-11-15
FDBK_4001,ORD_6956,__label__2,Excellent product and very useful,5.0,2023-05-03
FDBK_4002,ORD_5749,__label__1,Delivery was late and product was damaged,1.0,2023-10-11
FDBK_4003,ORD_5955,__label__1,Waste of money and bad product,1.0,2023-09-28
FDBK_4004,ORD_7175,__label__2,Amazing quality and fast delivery,4.0,2023-08-12
FDBK_4005,ORD_7234,__label__2,Amazing quality and fast delivery,4.0,2024-12-23
FDBK_4006,ORD_5344,__label__2,Excellent product and very useful,4.0,2023-07-28
FDBK_4007,ORD_6578,__label__2,VERY POOR QUALITY AND DISAPPOINTING,4.0,2023-10-31
FDBK_4008,ORD_5144,__label__2,Excellent product and very useful,5.0,2024-05-19
FDBK_4009,ORD_3898,__label__2,  amazing quality and fast delivery  ,4.0,2024-11-05
FDBK_4010,ORD_3056,__label__2,Good product worth the price,4.0,2024-04-25
FDBK_4011,ORD_7029,__label__2,Excellent product and very useful,5.0,2024-04-10
FDBK_4012,ORD_5261,__label__2,,5.0,2024-03-10
FDBK_4013,ORD_7266,__label__2,Excellent product and very useful,5.0,2023-11-22
FDBK_4014,ORD_4895,__label__2,Amazing quality and fast delivery,4.0,2023-05-07
FDBK_4015,ORD_4566,__label__2,Amazing quality and fast delivery,4.0,2024-12-30
FDBK_4016,ORD_7062,__label__1,Terrible experience with this item,2.0,2023-01-13
FDBK_4017,ORD_3408,__label__2,Loved it and will buy again,4.0,2024-11-04
FDBK_4018,ORD_5238,__label__1,Very poor quality and disappointing,2.0,2024-02-27
FDBK_4019,ORD_5918,__label__2,Loved it and will buy again,5.0,2023-03-03
FDBK_4020,ORD_7233,__label__2,Amazing quality and fast delivery,5.0,2023-07-16
FDBK_4021,ORD_3027,__label__2,Loved it and will buy again,4.0,2024-01-24
FDBK_4022,ORD_3108,__label__2,Good product worth the price,5.0,2024-06-21
FDBK_4023,ORD_4297,__label__2,Amazing quality and fast delivery,4.0,2024-04-20
FDBK_4024,ORD_5327,__label__2,Good product worth the price,5.0,2024-03-07
FDBK_4025,ORD_3891,__label__2,Loved it and will buy again,4.0,2024-08-20
FDBK_4026,ORD_7652,__label__2,Very happy with this purchase,4.0,2023-05-02
FDBK_4027,ORD_4531,__label__2,Excellent product and very useful,4.0,2024-12-11
FDBK_4028,ORD_6951,__label__2,Amazing quality and fast delivery,5.0,2024-01-12
FDBK_4029,ORD_5961,__label__2,Good product worth the price,4.0,2023-11-12
FDBK_4030,ORD_5123,__label__2,Very happy with this purchase,4.0,2024-04-23
FDBK_4031,ORD_4911,__label__2,Very happy with this purchase,,2023-09-05
FDBK_4032,ORD_3068,__label__2,Amazing quality and fast delivery,4.0,2023-05-02
FDBK_4033,ORD_5774,__label__2,Amazing quality and fast delivery,4.0,2023-01-30
FDBK_4034,ORD_7366,__label__2,Very happy with this purchase,4.0,2023-10-29
FDBK_4035,ORD_3072,__label__2,Excellent product and very useful,5.0,2023-10-18
FDBK_4036,ORD_3054,__label__1,Very poor quality and disappointing,2.0,2024-03-30
FDBK_4037,ORD_4736,__label__2,Good product worth the price,4.0,2024-09-09
FDBK_4038,ORD_7380,__label__1,Very poor quality and disappointing,2.0,2023-07-03
FDBK_4039,ORD_3846,__label__2,Very happy with this purchase,4.0,2023-07-01
FDBK_4040,ORD_3931,__label__2,Very happy with this purchase,4.0,2024-10-06
FDBK_4041,ORD_7139,__label__2,Loved it and will buy again,4.0,2024-02-19
FDBK_4042,ORD_7850,__label__2,Very happy with this purchase,5.0,2024-09-01
FDBK_4043,ORD_4202,__label__2,Excellent product and very useful,4.0,2024-10-09
FDBK_4044,ORD_6810,__label__2,Good product worth the price,5.0,2023-10-03
FDBK_4045,ORD_7434,__label__1,Terrible experience with this item,2.0,2023-10-11
FDBK_4046,ORD_3336,__label__1,Very poor quality and disappointing,2.0,2024-05-06
FDBK_4047,ORD_5069,__label__2,Good product worth the price,4.0,2023-10-01
FDBK_4048,ORD_4957,__label__2,Excellent product and very useful,4.0,2023-11-08
FDBK_4049,ORD_4166,__label__2,Loved it and will buy again,4.0,2023-10-31
FDBK_4050,ORD_6809,__label__2,Very happy with this purchase,4.0,2023-02-14
